No.,scientific_name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
17,Scomberomorus lineolatus,27,51,33,20,34,29,94,40,53,40,56,33,42,57,52,39,59,82,95,93,103,121,133,97,110,79,109,123,118,149,157,161,101,135,98,48,88,62,216,61,43,54,389,62,48,65,56,335,63,69,42,33,26,29,30,23,25,66,27,24,29,24,20,18,28,16,17,31,0,0
18,Sardinella lemuru,0,200,200,200,200,200,200,200,200,200,200,300,300,300,300,300,400,300,400,400,500,500,500,400,291,7791,16943,24907,19367,17648,17255,13341,24010,47249,41340,20605,10708,20490,33922,34496,43921,60040,52260,69357,63006,40361,29646,71891,91704,33838,31220,37810,70818,76088,58430,52401,105420,111207,82417,108772,71611,32475,19663,26219,39423,32658,11544,17893,15039,15430
19,Thunnus maccoyii,0,0,13716,10448,9094,10593,15745,15324,10201,50449,72908,65537,35518,52589,38906,38215,39312,50174,28800,27024,23174,24140,24044,18292,25180,15035,23777,28004,16109,14143,20306,20166,25237,25437,25095,23146,19389,16768,15152,11890,9154,6523,4153,3844,4927,6525,9877,9100,9622,12258,8908,9291,7948,7799,8503,10069,9069,8241,7634,7994,6326,5830,6139,6989,6583,7455,7320,6405,7680,8496
20,Exocoetidae,0,0,0,400,200,2900,2200,900,300,1500,5700,1500,3600,900,700,400,3300,2500,3200,2600,2900,9200,1200,5900,5976,2101,1577,816,1232,1792,1794,1434,2799,3215,1548,2416,2033,1559,2859,4925,4386,3824,3517,4457,5189,5255,6458,6127,7201,5669,6263,6938,6753,11847,9826,6356,6347,9902,7631,9019,7210,7768,7435,10791,7351,8326,6894,2980,2245,2215
21,Rhopilema spp,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,19,627,8858,1355,2892,3700,362,20807,79438,39134,5419,25152,64372,35027,9560,31641,6932,3197,4591,8454,9558,20386,22807,29542,6660,34680,35993,24425,50418,79720,3161,34593,137235,2577,149551,118119,34887,126196,57650,137140,78784,115593,76135,69802,59218,17433
22,Phaeophyceae,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,2000,5000,7000,7000,7000,7000,5000,4000,6300,6300,3900,4000,4870,15384,16486,18337,14872,15564,11160,10694,17948,13627,12862,16248,17955,25360,22887,17502,16108,18275,17519,22316,18570,21152,20811,20774,13650,13547,9916,8879,12570,14167,15504,2223,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923,1923
23,Bivalvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,900,400,300,400,400,670,760,380,290,65,4760,631,1998,483,1185,2075,2092,7902,6345,5303,3403,1124,20467,1529,782,4475,1161,7730,18424,8670,15250,17745,24663,5097,572,5115,2983,2606,6832,7944,1823,1282,4312,6322,23019,1544,1458,2500,2134,6101,3633,4840,5520,3175,1644
24,Anguilla australis,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,200,200,100,200,200,0,15,4,18,12,14,130,173,156,131,147,243,183,200,200,200,200,254,300,252,349,365,259,208,203,160,129,133,175,172,106,105,87,80,70,84,57,44,42,113,86,94,66,55,93,0,0
25,Balistidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,60,60,60,60,113,133,78,325,260,276,304,196,180,556,656,445,357,747,1511,793,1433,1916,1164,1571,498,540,708,543,250,248,115,193,221,476,336,289,257,258,223,332,170,382,97,83,74,62,116,88,120,650
26,Penaeus semisulcatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,260,616,1211,2120,3036,655,698,447,798,747,626,751,640,737,740,467,665,441,673,760,1909,2427,2449,2180,2212,1584,1404,702,798,805,967,841,665,771,634,907,1158,790,206,247,691,773,1709,463,538
